timestamp,Red,IR
1760728271.556896,1262.0,1658.0
1760728271.5673697,1701.0,2156.0
1760728271.6449063,1956.0,2406.0
1760728271.652161,2110.0,2798.0
1760728271.686746,2402.0,3287.0
1760728271.7323751,2920.0,5377.0
1760728271.7699168,10199.0,42734.0
1760728271.806405,51264.0,65940.0
1760728271.850592,53294.0,68213.0
1760728271.8865142,53818.0,69344.0
1760728271.92665,54089.0,69969.0
1760728271.9664183,54282.0,70677.0
1760728272.006641,54454.0,71121.0
1760728272.0467024,54591.0,71266.0
1760728272.0865748,54580.0,71028.0
1760728272.126801,54528.0,70931.0
1760728272.166726,54514.0,70901.0
1760728272.2065275,54511.0,70768.0
1760728272.2465105,54396.0,70238.0
1760728272.286784,54207.0,69703.0
1760728272.3267138,54072.0,69379.0
1760728272.3657112,54005.0,69223.0
1760728272.405695,53995.0,69118.0
1760728272.445511,54019.0,69227.0
1760728272.485644,54083.0,69472.0
1760728272.5256293,54169.0,69702.0
1760728272.565678,54252.0,69888.0
1760728272.605686,54293.0,69984.0
1760728272.64562,54339.0,70195.0
1760728272.6856866,54417.0,70432.0
1760728272.7256916,54489.0,70610.0
1760728272.7656753,54542.0,70776.0
1760728272.80568,54595.0,70910.0
1760728272.8456793,54631.0,71012.0
1760728272.885389,54657.0,71075.0
1760728272.925627,54673.0,71092.0
1760728272.9653924,54582.0,70465.0
1760728273.0053818,54338.0,69941.0
1760728273.0460114,54210.0,69717.0
1760728273.0853655,54195.0,69777.0
1760728273.1255107,54234.0,69904.0
1760728273.16433,54283.0,70050.0
1760728273.2046845,54366.0,70264.0
1760728273.2444077,54418.0,70300.0
1760728273.2851076,54407.0,70266.0
1760728273.32443,54402.0,70283.0
1760728273.3644102,54407.0,70281.0
1760728273.4043326,54416.0,70380.0
1760728273.444338,54467.0,70535.0
1760728273.484635,54520.0,70698.0
1760728273.524539,54560.0,70805.0
1760728273.564648,54591.0,70915.0
1760728273.6044378,54626.0,71010.0
1760728273.644393,54659.0,71114.0
1760728273.6843302,54687.0,70944.0
1760728273.7244334,54479.0,70172.0
1760728273.764351,54265.0,69695.0
