timestamp,Crudo,Filtrado,Normalizado
1760987015.7857172,-68634.0,-226.7964,0.4959
1760987015.8054326,-68685.0,-284.2899,0.4954
1760987015.8780565,-68726.0,-336.0198,0.495
1760987015.8815746,-68769.0,-379.5491,0.4946
1760987015.886022,-68796.0,-413.2231,0.4943
1760987015.8944135,-68826.0,-436.4512,0.4941
1760987015.9115934,-68850.0,-449.7413,0.494
1760987015.9281843,-68884.0,-454.5728,0.494
1760987015.9552422,-68924.0,-453.3938,0.494
1760987016.0558999,-68946.0,-449.3108,0.494
1760987016.061177,-68920.0,-444.5788,0.494
1760987016.0618272,-68759.0,-436.9332,0.4941
1760987016.0645685,-68523.0,-415.192,0.4943
1760987016.0675554,-68278.0,-359.2415,0.4948
1760987016.070717,-68050.0,-248.9953,0.4957
1760987016.0841932,-67856.0,-77.8672,0.4972
1760987016.1055737,-67736.0,139.4857,0.4991
1760987016.127842,-67664.0,370.3271,0.5011
1760987016.1529837,-67628.0,575.4027,0.5029
1760987016.178919,-67602.0,723.0645,0.5042
1760987016.1937695,-67597.0,799.5186,0.5049
1760987016.2122355,-67609.0,810.5129,0.505
1760987016.232397,-67660.0,774.467,0.5047
1760987016.2492805,-67736.0,711.6213,0.5041
1760987016.2845275,-67795.0,635.6738,0.5034
1760987016.285847,-67856.0,552.403,0.5027
1760987016.3189175,-67881.0,463.8839,0.502
1760987016.3249571,-67891.0,373.5953,0.5012
1760987016.3448713,-67902.0,288.3253,0.5004
1760987016.3766544,-67914.0,215.915,0.4998
1760987016.39581,-67937.0,161.0632,0.4993
1760987016.412335,-67964.0,122.5983,0.499
1760987016.434618,-68006.0,94.1959,0.4987
1760987016.4508016,-68035.0,67.4608,0.4985
1760987016.4662945,-68076.0,35.7896,0.4982
1760987016.484214,-68124.0,-3.3873,0.4979
1760987016.5090864,-68174.0,-49.0178,0.4975
1760987016.5308838,-68229.0,-98.3914,0.4971
1760987016.5470932,-68275.0,-148.8695,0.4966
1760987016.5645154,-68330.0,-198.4486,0.4962
1760987016.5861301,-68378.0,-245.7547,0.4958
1760987016.6045425,-68427.0,-289.951,0.4954
1760987016.624635,-68486.0,-330.6501,0.495
1760987016.644442,-68525.0,-367.8701,0.4947
1760987016.6654284,-68565.0,-401.696,0.4944
1760987016.6845107,-68604.0,-431.635,0.4941
1760987016.7065897,-68645.0,-456.717,0.4939
1760987016.7367446,-68667.0,-476.1848,0.4938
1760987016.7518244,-68700.0,-489.7783,0.4936
1760987016.7721403,-68743.0,-497.7505,0.4936
1760987016.7856765,-68792.0,-501.3493,0.4935
1760987016.8080518,-68809.0,-502.9459,0.4935
1760987016.8447468,-68748.0,-503.7618,0.4935
1760987016.8457625,-68556.0,-499.0499,0.4936
1760987016.869383,-68317.0,-474.0001,0.4938
1760987016.8937657,-68068.0,-406.5953,0.4944
1760987016.9159656,-67831.0,-278.9636,0.4955
1760987016.930103,-67654.0,-89.9156,0.4971
1760987016.9602058,-67552.0,140.1396,0.4991
1760987016.9642036,-67495.0,374.4254,0.5012
1760987016.992509,-67456.0,572.6398,0.5029
1760987017.0188434,-67449.0,705.6299,0.5041
1760987017.0278509,-67454.0,764.312,0.5046
1760987017.0446227,-67491.0,758.6076,0.5045
1760987017.0659976,-67550.0,708.6857,0.5041
1760987017.0831847,-67631.0,634.3897,0.5034
1760987017.1032424,-67711.0,548.5305,0.5027
1760987017.1234114,-67782.0,456.3351,0.5019
1760987017.1432478,-67863.0,359.205,0.501
1760987017.1639771,-67930.0,258.6409,0.5002
1760987017.1835659,-67993.0,157.8357,0.4993
1760987017.2035878,-68045.0,61.3499,0.4984
1760987017.2233088,-68099.0,-26.2242,0.4977
1760987017.2446208,-68147.0,-101.7208,0.497
1760987017.263968,-68196.0,-164.3848,0.4965
1760987017.2857752,-68240.0,-215.73,0.496
1760987017.303455,-68295.0,-258.5843,0.4957
1760987017.3234565,-68354.0,-296.1395,0.4953
1760987017.3435583,-68397.0,-331.2649,0.495
1760987017.3636148,-68418.0,-365.4442,0.4947
1760987017.3835754,-68446.0,-397.5106,0.4944
1760987017.4048018,-68479.0,-424.1335,0.4942
1760987017.4248538,-68514.0,-442.3883,0.4941
1760987017.4436197,-68526.0,-451.9317,0.494
1760987017.4637346,-68544.0,-454.5385,0.494
1760987017.483666,-68565.0,-452.2191,0.494
1760987017.5034685,-68590.0,-446.4497,0.494
1760987017.5244908,-68618.0,-438.6103,0.4941
1760987017.5449152,-68644.0,-430.3163,0.4942
1760987017.5642533,-68694.0,-423.2044,0.4942
1760987017.5835176,-68748.0,-418.9438,0.4943
1760987017.6046324,-68778.0,-419.1828,0.4943
1760987017.6238594,-68813.0,-424.4767,0.4942
1760987017.647116,-68844.0,-432.9744,0.4941
1760987017.6661482,-68883.0,-441.0623,0.4941
1760987017.687721,-68885.0,-445.2988,0.494
1760987017.703175,-68759.0,-442.1689,0.4941
1760987017.7224226,-68540.0,-423.8228,0.4942
1760987017.7427676,-68287.0,-374.4291,0.4946
1760987017.7626255,-68028.0,-274.5475,0.4955
1760987017.7841036,-67791.0,-112.7813,0.4969
1760987017.8023076,-67626.0,104.2642,0.4988
1760987017.8242383,-67510.0,350.5114,0.501
1760987017.842346,-67451.0,588.032,0.503
1760987017.8669517,-67410.0,780.0681,0.5047
1760987017.8857672,-67382.0,903.3792,0.5058
1760987017.9039369,-67386.0,954.2897,0.5062
1760987017.9313042,-67421.0,945.6733,0.5061
1760987017.9503663,-67483.0,897.3515,0.5057
1760987017.967798,-67557.0,826.3255,0.5051
1760987017.9957223,-67614.0,742.389,0.5044
1760987018.0116608,-67652.0,650.0632,0.5036
1760987018.0285437,-67684.0,553.2581,0.5027
1760987018.052288,-67710.0,457.9914,0.5019
1760987018.074176,-67730.0,371.2153,0.5011
1760987018.091673,-67764.0,297.9717,0.5005
1760987018.113424,-67805.0,239.1026,0.5
1760987018.12803,-67858.0,190.8162,0.4996
1760987018.1451519,-67909.0,146.4214,0.4992
1760987018.1624253,-67955.0,99.51,0.4988
1760987018.1844146,-68016.0,46.7957,0.4983
1760987018.2028115,-68073.0,-11.2643,0.4978
1760987018.2255485,-68129.0,-71.9671,0.4973
1760987018.2482553,-68189.0,-132.1203,0.4968
1760987018.2633965,-68240.0,-189.1746,0.4963
1760987018.2826874,-68292.0,-241.578,0.4958
1760987018.3066342,-68339.0,-288.5741,0.4954
1760987018.3275707,-68378.0,-329.8008,0.495
1760987018.3434975,-68412.0,-364.9063,0.4947
1760987018.361734,-68454.0,-393.4636,0.4945
1760987018.3818576,-68505.0,-415.5233,0.4943
1760987018.401708,-68541.0,-432.3328,0.4941
1760987018.4217384,-68588.0,-446.0455,0.494
1760987018.441712,-68628.0,-458.5325,0.4939
1760987018.4617248,-68672.0,-470.6391,0.4938
1760987018.481767,-68723.0,-482.3202,0.4937
1760987018.5017288,-68765.0,-493.221,0.4936
1760987018.5218556,-68810.0,-503.0655,0.4935
1760987018.5458252,-68853.0,-511.5816,0.4935
1760987018.5702763,-68896.0,-518.3765,0.4934
1760987018.6036685,-68923.0,-522.9372,0.4934
1760987018.6059003,-68841.0,-523.5699,0.4933
1760987018.622755,-68603.0,-513.4096,0.4934
1760987018.641844,-68349.0,-475.9188,0.4938
1760987018.6667697,-68102.0,-388.1681,0.4945
1760987018.683152,-67882.0,-234.4659,0.4959
1760987018.7056077,-67722.0,-19.7137,0.4977
1760987018.7225595,-67619.0,228.342,0.4999
1760987018.7412808,-67566.0,468.8055,0.502
1760987018.761446,-67538.0,662.6563,0.5037
1760987018.781277,-67524.0,785.8378,0.5048
1760987018.8037806,-67522.0,835.0712,0.5052
1760987018.8295052,-67541.0,824.699,0.5051
1760987018.853457,-67605.0,777.0372,0.5047
1760987018.8720353,-67684.0,711.3563,0.5041
1760987018.8949537,-67736.0,637.6124,0.5035
1760987018.9136312,-67774.0,558.2147,0.5028
1760987018.9315825,-67793.0,474.4897,0.502
1760987018.9527493,-67807.0,391.093,0.5013
1760987018.9688997,-67816.0,315.4164,0.5007
1760987018.9874644,-67827.0,253.9762,0.5001
1760987019.0085003,-67844.0,209.1435,0.4997
1760987019.0316057,-67873.0,178.1568,0.4995
1760987019.047698,-67907.0,154.5191,0.4993
1760987019.0639615,-67951.0,130.6555,0.499
1760987019.0813386,-67978.0,100.8039,0.4988
1760987019.1025357,-68023.0,62.9729,0.4985
1760987019.1208549,-68075.0,18.8497,0.4981
1760987019.1419876,-68119.0,-28.2538,0.4977
1760987019.160728,-68161.0,-75.4429,0.4973
1760987019.1840281,-68206.0,-120.735,0.4969
1760987019.201393,-68254.0,-162.9028,0.4965
1760987019.2236695,-68297.0,-201.4988,0.4962
1760987019.2420793,-68342.0,-236.7587,0.4958
1760987019.2656133,-68376.0,-269.0411,0.4956
1760987019.2820418,-68425.0,-298.3582,0.4953
1760987019.3056445,-68461.0,-324.4916,0.4951
1760987019.3209152,-68504.0,-347.3835,0.4949
1760987019.3408325,-68549.0,-367.2588,0.4947
1760987019.3610258,-68579.0,-384.5519,0.4946
1760987019.3808045,-68611.0,-399.502,0.4944
1760987019.404624,-68647.0,-411.696,0.4943
1760987019.4281683,-68689.0,-420.5184,0.4942
1760987019.4520922,-68743.0,-426.2441,0.4942
1760987019.477523,-68791.0,-430.5894,0.4942
1760987019.49768,-68812.0,-435.7475,0.4941
1760987019.5007114,-68699.0,-441.1818,0.4941
1760987019.5229535,-68458.0,-438.0768,0.4941
1760987019.5448396,-68208.0,-406.144,0.4944
1760987019.5697985,-67952.0,-320.1992,0.4951
1760987019.593214,-67747.0,-165.4189,0.4965
1760987019.6124396,-67608.0,50.1257,0.4983
1760987019.6231372,-67530.0,294.7952,0.5005
1760987019.6528487,-67497.0,524.593,0.5025
1760987019.6606445,-67494.0,699.5917,0.504
1760987019.6806707,-67502.0,797.4515,0.5049
1760987019.7011275,-67525.0,818.225,0.505
1760987019.7253435,-67574.0,779.5923,0.5047
1760987019.7520843,-67646.0,706.035,0.5041
1760987019.763416,-67730.0,617.9423,0.5033
1760987019.7908943,-67788.0,526.2948,0.5025
1760987019.807153,-67819.0,434.7278,0.5017
1760987019.8236887,-67835.0,345.3909,0.5009
1760987019.8433387,-67836.0,262.9456,0.5002
1760987019.8660786,-67849.0,193.9274,0.4996
1760987019.8910825,-67872.0,142.8682,0.4992
1760987019.9148571,-67901.0,108.9815,0.4989
1760987019.9309654,-67949.0,85.8683,0.4987
1760987019.9470153,-68004.0,64.2565,0.4985
1760987019.9629502,-68062.0,35.6844,0.4982
1760987019.979852,-68122.0,-4.5581,0.4979
1760987019.999399,-68175.0,-56.2004,0.4974
1760987020.0197628,-68238.0,-114.9554,0.4969
1760987020.0396326,-68305.0,-175.054,0.4964
1760987020.0606945,-68369.0,-231.9861,0.4959
1760987020.079781,-68426.0,-283.8509,0.4954
1760987020.1002,-68483.0,-330.5898,0.495
1760987020.123652,-68524.0,-372.5241,0.4947
1760987020.1400583,-68560.0,-409.2126,0.4943
1760987020.159802,-68604.0,-439.3141,0.4941
1760987020.1801212,-68641.0,-461.5561,0.4939
1760987020.1997395,-68672.0,-475.881,0.4938
1760987020.2201357,-68708.0,-483.5164,0.4937
1760987020.2399607,-68740.0,-486.1868,0.4937
1760987020.2602081,-68788.0,-485.7179,0.4937
1760987020.27977,-68815.0,-483.8548,0.4937
1760987020.3036673,-68754.0,-481.0919,0.4937
1760987020.328214,-68525.0,-472.4556,0.4938
1760987020.3542216,-68258.0,-442.2216,0.4941
1760987020.3600125,-68000.0,-365.9665,0.4947
1760987020.38002,-67769.0,-224.029,0.496
1760987020.403892,-67610.0,-16.9495,0.4978
1760987020.4286397,-67508.0,229.565,0.4999
1760987020.4530573,-67465.0,473.1062,0.502
1760987020.4597268,-67447.0,670.714,0.5038
1760987020.4795642,-67434.0,794.2864,0.5048
1760987020.5025785,-67440.0,838.5189,0.5052
1760987020.5271003,-67468.0,818.4527,0.505
1760987020.5484111,-67538.0,758.7362,0.5045
1760987020.5753193,-67618.0,681.0449,0.5038
1760987020.5795372,-67682.0,597.0028,0.5031
1760987020.6009662,-67728.0,509.5753,0.5023
1760987020.622245,-67767.0,419.4056,0.5016
1760987020.639893,-67781.0,329.687,0.5008
1760987020.6652875,-67797.0,246.6741,0.5001
1760987020.6859171,-67821.0,176.959,0.4995
1760987020.7033308,-67840.0,123.8885,0.499
1760987020.7251894,-67861.0,85.8522,0.4987
1760987020.7428284,-67898.0,57.4781,0.4984
1760987020.7682505,-67938.0,32.1253,0.4982
1760987020.7794352,-67986.0,4.0315,0.4979
1760987020.8099794,-68035.0,-30.3101,0.4976
1760987020.8332186,-68095.0,-71.7343,0.4973
1760987020.851262,-68153.0,-118.9583,0.4969
1760987020.861963,-68218.0,-169.6896,0.4964
1760987020.8929675,-68280.0,-221.6343,0.496
1760987020.8989418,-68334.0,-272.9391,0.4955
1760987020.918906,-68386.0,-321.9321,0.4951
1760987020.9416356,-68433.0,-366.8418,0.4947
1760987020.9672754,-68495.0,-406.0883,0.4944
1760987020.99113,-68543.0,-439.0558,0.4941
1760987020.9989927,-68583.0,-466.3832,0.4938
1760987021.0187156,-68610.0,-488.8739,0.4937
1760987021.0415258,-68657.0,-506.3742,0.4935
1760987021.067077,-68709.0,-518.3359,0.4934
1760987021.0931106,-68756.0,-525.484,0.4933
1760987021.1180925,-68795.0,-530.0374,0.4933
1760987021.1192722,-68776.0,-533.6618,0.4933
1760987021.1487176,-68604.0,-533.3233,0.4933
1760987021.1704755,-68329.0,-516.2004,0.4934
1760987021.1866372,-68067.0,-459.1358,0.4939
1760987021.2088933,-67808.0,-338.7875,0.495
1760987021.226427,-67598.0,-147.5128,0.4966
1760987021.2439067,-67457.0,97.669,0.4988
1760987021.270212,-67391.0,359.0995,0.501
1760987021.29414,-67361.0,591.688,0.5031
1760987021.3178756,-67344.0,758.6306,0.5045
1760987021.319602,-67334.0,843.4103,0.5053
1760987021.3445265,-67356.0,852.6069,0.5053
1760987021.367722,-67411.0,808.377,0.505
1760987021.394297,-67497.0,735.2936,0.5043
1760987021.398864,-67571.0,650.0098,0.5036
1760987021.4194748,-67647.0,558.9723,0.5028
1760987021.4450493,-67707.0,463.046,0.5019
1760987021.4698675,-67741.0,363.4212,0.5011
1760987021.485686,-67757.0,264.9265,0.5002
1760987021.5107074,-67767.0,175.696,0.4994
1760987021.5179126,-67786.0,103.7311,0.4988
1760987021.538062,-67826.0,52.598,0.4984
1760987021.5583522,-67868.0,18.9608,0.4981
1760987021.5795062,-67907.0,-6.0077,0.4979
1760987021.6042626,-67963.0,-32.1069,0.4976
1760987021.6206315,-68024.0,-65.9113,0.4973
1760987021.6437407,-68088.0,-109.4968,0.497
1760987021.6619503,-68155.0,-161.3677,0.4965
1760987021.6787534,-68209.0,-217.9963,0.496
1760987021.6978033,-68265.0,-275.0707,0.4955
1760987021.7215254,-68326.0,-328.563,0.495
1760987021.7463176,-68386.0,-375.8286,0.4946
1760987021.7721217,-68430.0,-416.218,0.4943
1760987021.778143,-68470.0,-450.2926,0.494
1760987021.7981567,-68517.0,-478.4329,0.4937
1760987021.8215277,-68550.0,-500.5214,0.4935
1760987021.8389087,-68594.0,-516.4755,0.4934
1760987021.8618088,-68634.0,-526.7616,0.4933
1760987021.8809438,-68676.0,-532.5925,0.4933
1760987021.8984795,-68725.0,-535.6975,0.4932
1760987021.9192433,-68767.0,-537.8162,0.4932
1760987021.938722,-68799.0,-540.0772,0.4932
1760987021.9637682,-68760.0,-541.7229,0.4932
1760987021.982909,-68536.0,-536.835,0.4932
1760987022.0139148,-68269.0,-509.7673,0.4935
1760987022.0304868,-68008.0,-436.3272,0.4941
1760987022.0465949,-67790.0,-296.3198,0.4953
1760987022.0628605,-67611.0,-89.3817,0.4971
1760987022.086014,-67509.0,159.4963,0.4993
1760987022.104528,-67450.0,408.4686,0.5015
1760987022.1299903,-67418.0,614.8759,0.5033
1760987022.1535509,-67409.0,750.3669,0.5044
1760987022.173614,-67417.0,808.3497,0.505
1760987022.1776671,-67450.0,801.4267,0.5049
1760987022.198126,-67512.0,751.6105,0.5045
1760987022.223174,-67586.0,679.4547,0.5038
1760987022.2517278,-67645.0,597.7108,0.5031
1760987022.256803,-67680.0,511.8702,0.5024
1760987022.2771597,-67703.0,425.0062,0.5016
1760987022.300024,-67726.0,341.6121,0.5009
1760987022.3247623,-67731.0,267.546,0.5002
1760987022.343511,-67748.0,207.5392,0.4997
1760987022.3692331,-67775.0,162.9068,0.4993
1760987022.3769884,-67803.0,130.6565,0.499
1760987022.3969243,-67843.0,104.5787,0.4988
1760987022.4186811,-67883.0,77.8579,0.4986
1760987022.4369736,-67936.0,45.5568,0.4983
1760987022.4591687,-67993.0,5.6808,0.498
1760987022.480121,-68056.0,-41.227,0.4976
1760987022.503191,-68118.0,-93.2744,0.4971
1760987022.5206273,-68183.0,-148.0774,0.4966
1760987022.5447037,-68239.0,-203.2729,0.4961
1760987022.562697,-68296.0,-256.6401,0.4957
1760987022.580245,-68339.0,-306.0724,0.4952
1760987022.6023574,-68382.0,-349.5589,0.4949
1760987022.6199245,-68433.0,-385.5576,0.4946
1760987022.6422591,-68471.0,-413.6019,0.4943
1760987022.6624198,-68514.0,-434.583,0.4941
1760987022.682794,-68543.0,-450.0361,0.494
1760987022.7052135,-68581.0,-461.2043,0.4939
1760987022.7222953,-68615.0,-468.696,0.4938
1760987022.744713,-68661.0,-472.9158,0.4938
1760987022.7624059,-68705.0,-474.7641,0.4938
1760987022.778188,-68736.0,-475.6658,0.4938
1760987022.7976053,-68720.0,-476.2207,0.4938
1760987022.819854,-68544.0,-472.842,0.4938
1760987022.8428838,-68316.0,-453.2773,0.494
1760987022.863343,-68094.0,-396.7523,0.4945
1760987022.8890777,-67904.0,-284.201,0.4954
1760987022.900314,-67764.0,-112.6835,0.4969
1760987022.9175534,-67670.0,98.152,0.4988
1760987022.9473064,-67615.0,312.5805,0.5006
1760987022.9698794,-67598.0,493.1604,0.5022
1760987022.9874935,-67591.0,614.2931,0.5033
1760987023.012803,-67582.0,668.9882,0.5037
1760987023.0159998,-67603.0,667.5731,0.5037
1760987023.0382416,-67645.0,629.852,0.5034
1760987023.0636642,-67706.0,574.8571,0.5029
1760987023.0891628,-67765.0,513.8821,0.5024
1760987023.0988817,-67810.0,450.0703,0.5018
1760987023.1336334,-67830.0,383.104,0.5012
1760987023.1386106,-67841.0,314.4614,0.5006
1760987023.163192,-67858.0,249.2264,0.5001
1760987023.1845145,-67870.0,193.7037,0.4996
1760987023.1961496,-67890.0,151.5754,0.4992
1760987023.2267187,-67907.0,122.0241,0.499
1760987023.2513337,-67945.0,100.549,0.4988
1760987023.2560306,-67989.0,81.0029,0.4986
1760987023.2762532,-68034.0,57.6104,0.4984
1760987023.301045,-68082.0,26.6519,0.4981
1760987023.3269124,-68134.0,-12.4589,0.4978
1760987023.3370795,-68182.0,-57.556,0.4974
1760987023.3679433,-68231.0,-105.06,0.497
1760987023.3909073,-68281.0,-151.3975,0.4966
1760987023.4081917,-68329.0,-194.0633,0.4962
1760987023.4263477,-68375.0,-232.0329,0.4959
1760987023.4507718,-68409.0,-265.2859,0.4956
1760987023.469522,-68444.0,-293.9605,0.4953
1760987023.48053,-68477.0,-317.7252,0.4951
1760987023.5003138,-68513.0,-336.1309,0.495
1760987023.5243251,-68548.0,-349.307,0.4949
1760987023.5471914,-68586.0,-358.2834,0.4948
