Tiempo (s),PPG Suavizada,Primera Derivada,Segunda Derivada
125.62648510932922,-69228.1549829481,-1884.7669571805454,-4953.574323167231
125.63827729225159,-69243.23311860554,-1924.3955517658833,-7215.590064390653
125.65273904800415,-69258.94531177635,-2000.216398210796,-9048.062964836845
125.67391347885132,-69275.23658097691,-2069.164559203273,-8188.977283339227
125.69283485412598,-69292.0519447236,-2131.2400347442235,-7329.891601841609
125.72625756263733,-69309.33642153282,-2186.4428248327386,-6470.805920343992
125.73708724975586,-69327.03502992092,-2234.7729294697274,-5611.720238846374
125.75315499305725,-69345.09278840433,-2276.2303486542805,-4752.634557235069
125.77415299415588,-69363.45471549939,-2310.8150823854885,-3893.5488757374515
125.79319405555725,-69382.0658297225,-2338.5271306660798,-3034.463194296677
125.8231611251831,-69400.87114959005,-2359.3664934942353,-2175.3775126853725
125.83498740196228,-69419.81569361841,-2373.3331708690457,-68030.8536340135
125.8534529209137,-69438.84448032395,-3447.8601516384515,-120594.11245706996
125.87395167350769,-69474.98145604462,-4302.838970182165,-54003.77185850402
125.89353585243225,-69507.68990384687,-4311.920501374516,1146.754403578143
125.92145562171936,-69543.97218406662,-4284.490899724915,56915.61856122007
125.93462443351746,-69576.24175824247,-3401.2706043949947,143126.77069034407
125.95372724533081,-69598.39251373694,-1994.4625686794097,183010.2270774887
125.98033714294434,-69608.15315934134,-473.1069711551754,188039.25566601264
125.99388146400452,-69605.96222527542,1014.1655219767927,185557.60645608642
126.02279615402222,-69591.92651098971,2495.8147321422075,175706.12980773603
126.03599739074707,-69566.02918956114,3825.463598900569,144965.8739699089
126.05396938323975,-69530.7190934073,4815.26871566075,105621.67324877692
126.0808916091919,-69488.98489011057,5515.410370881,71501.00875679754
126.09417343139648,-69442.4725274732,5959.284855769511,43121.67324843585
126.12543320655823,-69393.63633241826,6205.3571428559735,17822.265625
126.13737034797668,-69343.18681318751,6244.441105769511,-12393.490298677534
126.15442132949829,-69293.72527472595,6007.061298077133,-36784.748454806504
126.17532896995544,-69247.07383241827,5655.885130492607,-48570.57005506249
126.19412326812744,-69203.23111263807,5229.932177196133,-57429.38701905587
126.2208776473999,-69163.39491758314,4737.014938187713,-61001.62044958779
126.23434853553772,-69127.43887362706,4253.9062500027285,-61699.16509270479
126.25404572486877,-69095.3324175831,3749.828296704436,-72002.70432707612
126.2812671661377,-69067.44162087979,3101.8629807695106,-97699.17582428889
126.29405927658081,-69045.70260989078,2186.641483515814,-127715.05837923769
126.32785201072693,-69032.45535714354,1058.4220467017076,-154134.56172728958
126.3385112285614,-69028.76785714355,-279.51150412081915,-176426.47879443984
126.35329723358154,-69036.92754120947,-1764.40161400933,-169436.2766140216
126.3732500076294,-69056.9982829677,-2990.491929945165,-107829.67032986335
126.39316844940186,-69084.7754120886,-3489.6763392871435,-8072.737809129649
126.42255544662476,-69112.8331043963,-3119.6557348912393,68844.97338614892
126.43367195129395,-69134.68990384685,-2388.1567651087607,79006.32082771607
126.45352339744568,-69151.04361263804,-1855.554601647782,52892.66397647907
126.47534823417664,-69164.37877747322,-1541.8741414850956,30954.884958703133
126.49357795715332,-69175.7135989018,-1360.2764423085318,12567.87645957047
126.52140545845032,-69186.14320055016,-1340.788118131968,-8214.929601535914
126.5338830947876,-69197.16620879191,-1491.7153159331065,-27734.1067134671
126.55353450775146,-69210.01064560509,-1784.5338255474417,-36712.311126450455
126.57707142829895,-69225.71875000067,-2079.112293956314,-36256.22424470975
126.59382891654968,-69243.27644230839,-2364.6334134627978,-37020.840487684836
126.62497043609619,-69263.55288461607,-2671.445741759271,-38358.24819702793
126.63545632362366,-69286.01957417653,-2978.3653846152447,-32592.773437386313
126.65430521965027,-69311.20673076992,-3192.930116757452,-14191.009186163228
126.67632102966309,-69337.10645604465,-3205.4215315938563,6237.658825568815
126.69419527053833,-69362.49347527542,-3093.127575548351,11420.952094738368
126.72596740722656,-69386.59649725343,-3022.6862980780425,-7824.572888125658
126.73816919326782,-69410.85645604467,-3218.3207417583617,-42536.80889405587
126.75459742546082,-69438.08962912156,-3703.2752403829363,-41259.765625
126.78325939178467,-69470.1088598908,-3878.4769917583617,29070.172990998344
126.79459691047668,-69500.1452609897,-3238.152472526963,118783.8040865472
126.82650232315063,-69521.91929945123,-1977.9361263736064,169455.05666200235
126.8395049571991,-69531.79223901167,-526.8715659349255,179169.707245876
126.8549337387085,-69530.34924450619,888.7791895604096,172002.4360406569
126.87577319145203,-69517.5717719787,2225.167410715585,153191.53502741756
126.89494800567627,-69494.74656593474,3339.8437499990905,130670.23308701663
126.92666101455688,-69464.13427197872,4315.891140107851,113279.90856807446
126.93731212615967,-69425.69230769301,5152.322287088282,88818.89594795211
126.95499277114868,-69381.69711538531,5736.993475275085,65007.13641821676
126.98324584960938,-69333.90041208861,6192.43646977975,43542.8828983504
126.99513101577759,-69282.61813186883,6433.6796016486915,8420.168698535235
127.02490949630737,-69230.96153846223,6327.159168956314,-25560.986864661572
127.03743720054626,-69181.38358516553,6024.703811814106,-44387.98506180319
127.0553412437439,-69134.5662774732,5616.951407967463,-56887.44848913529
127.07720422744751,-69091.51236263805,5114.504635987942,-68579.36984891922
127.09496402740479,-69052.7342032974,4519.681490384755,-77062.58585153591
127.12297773361206,-69019.1974587919,3881.503262363367,-81005.0545157992
127.13434839248657,-68990.63015109958,3223.600618131968,-89215.95982150166
127.15424394607544,-68967.61984890178,2454.0479052193405,-109016.83765456482
127.17544794082642,-68951.36538461607,1479.331215658931,-137064.83945736635
127.19439792633057,-68943.95054945124,261.0104739014787,-160314.53897659277
127.22465062141418,-68947.18921703365,-1085.7014079665532,-163236.17788464163
127.23613572120667,-68961.3217719787,-2350.7683722527872,-129225.51081732081
127.25412726402283,-68984.8015109897,-3153.309581043686,-44551.63976649601
127.27438282966614,-69011.7747252754,-3063.5946085167234,46806.58696770479
127.29439973831177,-69033.81902472596,-2404.4041895604096,78204.14448843848
127.32206416130066,-69050.24519230837,-1812.3282967017076,61133.08078630552
127.33503556251526,-69062.81627747319,-1426.2748969795211,36079.15521956784
127.35457825660706,-69073.06559066004,-1235.0618131886222,15922.797905432162
127.37504005432129,-69082.57726648421,-1171.5101304926065,1373.626373776915
127.39490175247192,-69091.80975274793,-1213.0837912081915,-6480.458018756963
127.42561841011047,-69101.98660714354,-1275.197458792718,-7630.065247326456
127.43696641921997,-69112.21291208861,-1335.1648351654148,-10308.904962073484
127.45476698875427,-69123.34924450619,-1440.1399381858937,-14343.93243471277
127.4773166179657,-69135.25515109958,-1564.6677541208192,-26882.29739021608
127.49486351013184,-69148.38392857212,-1870.256696429351,-47209.01656935439
127.52449464797974,-69165.17925824245,-2320.0120192304894,-52189.75360565991
127.53626918792725,-69185.5041208798,-2705.2927541199097,-42185.35370887366
127.55481934547424,-69208.46394230837,-2994.977678572468,-29620.16011349533
127.58216524124146,-69233.42376373697,-3179.215315935835,-21064.506782067838
127.59523487091064,-69259.33138736335,-3332.0097870855534,-34022.73995516225
127.62567925453186,-69286.73592033033,-3723.579155218431,-75395.18586918348
127.63602256774902,-69318.90865384684,-4538.332760992489,-96800.4163806313
127.6557502746582,-69359.34924450621,-5272.385817308532,-40559.53811791824
127.67588305473328,-69403.26682692378,-5187.285370879181,59479.095123663225
127.6955394744873,-69442.34581044028,-4320.72029532992,137524.95063539527
127.72524213790894,-69472.39835164906,-2986.8861607128565,176830.2498284129
127.73768281936646,-69490.13598901169,-1491.436298075314,182603.77317983512
