Tiempo (s),PPG Suavizada,Primera Derivada,Segunda Derivada
48.836180448532104,-62761.275819965456,-6573.029556649999,12346.519620166418
48.84952664375305,-62813.860056418656,-6474.257399688668,18000.372667330565
48.869009017944336,-62864.863938360475,-6285.02359397271,22615.41218859975
48.8893678188324,-62914.42043392222,-6112.410804671072,20537.785136781393
48.90936303138733,-62962.66251123521,-5956.419031784208,18460.158084877774
48.93861150741577,-63009.72313843077,-5817.048275313027,16382.531032974157
48.94822406768799,-63055.73528364022,-5694.298535256621,14304.903981155803
48.96794652938843,-63100.83191499487,-5588.169811614534,12227.276929309028
48.988356828689575,-63145.14600062605,-5498.662104387677,10149.649877462252
49.008201360702515,-63188.810508665076,-5425.775413575138,8072.022825587055
49.043460845947266,-63231.958407243255,-5369.509739178284,5994.395773683436
49.04899883270264,-63274.72266449193,-5329.865081196203,-123569.23296050582
49.067368030548096,-63317.236248542395,-7346.617466546377,-140198.38489343782
49.094393730163574,-63392.26854395667,-7573.039239491209,118881.19339332092
49.1189751625061,-63438.404876374254,-5444.518372253242,157859.7777600237
49.135632038116455,-63479.38083791272,-5047.28279533083,35847.08748286402
49.15967392921448,-63519.16140109955,-4870.964972527418,22298.624227431672
49.172749280929565,-63557.31627747316,-4690.504807691923,13800.652472497177
49.19923639297485,-63594.20947802262,-4650.154532967463,-10573.16706732081
49.21717977523804,-63631.71875000064,-4859.675480769056,-49705.421531626824
49.246039628982544,-63671.96428571492,-5445.441277473492,-91542.00291894199
49.247987270355225,-63718.845810440216,-6324.347527472128,-114074.0363151167
49.26759195327759,-63773.15384615448,-7270.625858515359,-140125.98729402726
49.293452978134155,-63835.17582417646,-8566.363324176564,-197804.88066626844
49.30834937095642,-63910.2156593413,-10435.503949175654,-225439.7214112771
49.34089112281799,-64002.14388736327,-12173.398866756997,-148634.6905048208
49.35825181007385,-64104.990041209414,-12813.658997252787,14516.977163282263
49.36738300323486,-64207.16243131932,-11941.127232144481,195260.18415189127
49.388702392578125,-64296.048076923726,-9689.496050822527,340603.0005152445
49.40746831893921,-64362.19436813248,-6491.479223900569,424341.89345786424
49.42752647399902,-64399.911744506135,-2900.0257554966993,444097.1626029864
49.4473443031311,-64408.594780220425,614.0753777472128,424227.8717377985
49.46733474731445,-64390.08653846218,3887.620192308077,388606.1448317264
49.49563217163086,-64346.392857143495,6831.773695054835,348434.28056313994
49.51079201698303,-64280.7781593413,9462.568681318317,303587.5257555176
49.54532027244568,-64194.9917582424,11689.174107143117,237558.21814913247
49.54767370223999,-64093.75137362701,13263.500171704436,156557.18792928042
49.56702709197998,-63982.77575549513,14194.089114011604,78821.20321073671
49.58876276016235,-63866.64594780283,14524.639423076223,9058.69033309159
49.607020139694214,-63750.38152472591,14339.02815934107,-47331.08688182597
49.64677095413208,-63637.22149725337,13767.342032967008,-85325.80700557446
49.64742875099182,-63530.10405219844,12973.815247251878,-112057.86401100681
49.66722822189331,-63429.64045329734,11974.416208790899,-147836.53846146193
49.69456195831299,-63338.513392857785,10608.430631868487,-195751.14826574235
49.71093988418579,-63259.90556318744,8842.397836539021,-246784.58748280717
49.74604558944702,-63197.03502747316,6659.877232143572,-303975.1996051052
49.74672031402588,-63153.347527473146,3978.7946428573377,-369993.77575554606
49.76595854759216,-63133.37431318744,739.9768200548351,-429990.6636333048
49.79104566574097,-63141.50789835227,-2901.05597527554,-428614.35439562
49.80534911155701,-63179.79120879185,-6117.852850275085,-313904.47930971277
49.82556366920471,-63239.39354395667,-7923.527644230944,-134018.44737293798
49.855414152145386,-63306.56765109955,-8262.148008242093,11643.629807736033
49.86544442176819,-63371.587912088544,-7737.229567307168,81057.37036399319
49.89018630981445,-63430.36332417646,-6965.230082418202,85895.9156078356
49.90519952774048,-63483.031593407235,-6362.894917581798,52822.90951248569
49.93536877632141,-63532.16964285777,-6120.063530218431,14193.692050042728
49.96205949783325,-63580.95260989073,-6135.795844781114,-6114.247081200119
49.976154088974,-63630.34237637427,-6217.891483517633,-15205.131782238368
49.98644018173218,-63680.43887362701,-6379.077953296928,-28889.07967025034
50.014885902404785,-63732.40762362702,-6680.116758241638,-52098.536229294725
