x0000,y0000,x0001,y0001
0.0774071217,249.6273629540,,
0.077447176,429.5182586462,,
0.0774843693,607.4047159759,,
0.0775067806,781.5407386079,,
0.0775272846,947.6587498011,,
0.0775482655,1098.9381993454,,
0.0775694847,1226.9167858626,,
0.077590704,1323.0426826486,,
0.0776116848,1380.3988792097,,
0.0776319504,1395.1228179483,,
0.0776526928,1367.1677674069,,
0.0776734352,1300.2552243443,,
0.0777211189,1201.0866173191,,
0.0777430534,1078.0563183324,,
0.0777649879,939.7960021787,,
0.0777859688,793.8740879929,,
0.0778067112,645.8926763496,,
0.0778269768,499.1022599127,,
0.0778474808,354.5272202644,,
0.0778682232,211.4909637894,,
0.0778889656,68.3653279105,,
0.0779094696,-76.6500527338,,
0.0779304504,-224.8902166372,,
0.0779507160,-376.8467822993,,
0.0779716969,-532.0941145714,,
0.0779924393,-689.4884193405,,
0.0780129433,-847.5453170872,,
0.0780332088,-1004.8664481130,,
0.0780537128,-1160.4878781796,,
0.0780739784,-1314.0607076415,,
0.0780947208,-1465.8334578467,,
0.0781152248,-1616.4659289762,,
0.0781350136,-1766.7470432908,,
0.0781548023,-1917.3050767586,,
0.0781753063,-2068.3876909676,,
0.0781953335,-2219.7590741998,,
0.0782155991,-2370.7245718893,,
0.0782361031,-2520.2617081801,,
0.0782566071,-2667.2178944508,,
0.0782773495,-2810.5299506976,,
0.0782978535,-2949.4248323383,,
0.0783183575,-3083.5697459802,,
0.0783383846,-3213.1491594402,,
0.0783586502,-3338.8539917585,,
0.0783786774,-3461.7754547183,,
0.0783984661,-3583.2053831958,,
0.0784184933,-3704.358122349,,
0.0784382820,-3826.0460519872,,
0.0784583092,-3948.3603009631,,
0.0784785748,-4070.4259842116,,
0.0784981251,-4190.30921991,,
0.0785183907,-4305.1416125946,,
0.0785384178,-4411.4903517293,,
0.0785586834,-4505.9403405340,,
0.0785787106,-4585.7829622740,,
0.0785982609,-4649.6492169825,,
0.0786185265,-4697.9092969614,,
0.0786385536,-4732.7014230315,,
0.0786585808,-4757.5459054269,,
0.0786888599,-4776.6207416213,,
0.0787124634,-4793.8819415821,,
0.0787329674,-4812.2635392047,,
0.0787529945,-4833.1651531336,,
0.0787730217,-4856.3370132025,,
0.0787935257,-4880.1434138985,,
0.0788135529,-4902.0787536181,,
0.0790188313,-4919.3631004146,,
0.0794210434,-4929.4604382973,,
0.0795164108,-4930.4196981069,,
0.0795407295,-4921.0077741845,,
0.0795621872,-4900.6639946261,,
0.0795831680,-4869.3445505005,,
0.0796041489,-4827.3369113759,,
0.0796246529,-4775.1086359519,,
0.0796451569,-4713.2208704276,,
0.0939302444,-4642.2993168307,,
0.0940659046,-4563.0298612396,,
0.0940907001,-4476.1412117254,,
0.0941133499,-4382.3521055467,,
0.0941367149,-4282.2864394923,,
0.0943248272,-4176.3820314367,,
0.0946180820,-4064.8262879293,,
0.0947823524,-3947.5423621581,,
0.0948154926,-3824.2291223503,,
0.0948386192,-3694.4383645805,,
